ID s	INT d	DIP d	FREQ d	FREQ_NRM d	FREQ_MAX d
W_TST_0617	1.03000000	5.92000000	9.36298586	0.09354959	100.08580460
W_TST_0616	0.52000000	2.38000000	1.92307692	0.01921428	100.08580460
W_TST_0615	0.44000000	56.59000000	1.49915672	0.01497871	100.08580460
W_TST_0614	1.82000000	34.71000000	0.79321153	0.00792532	100.08580460
W_TST_0613	1.34000000	4.73000000	0.74626866	0.00745629	100.08580460
W_TST_0612	0.86000000	22.21000000	2.84791069	0.02845469	100.08580460
W_TST_0611	0.67000000	37.91000000	1.91655842	0.01914915	100.08580460
W_TST_0610	0.60000000	23.94000000	3.75396946	0.03750751	100.08580460
W_TST_0608	0.19000000	35.38000000	7.41146019	0.07405106	100.08580460
W_TST_0607	3.10000000	9.38000000	1.95278183	0.01951108	100.08580460
W_TST_0606	2.29000000	44.49000000	0.44452521	0.00444144	100.08580460
W_TST_0604	2.42000000	31.37000000	0.67776592	0.00677185	100.08580460
W_TST_0598	0.16000000	7.41000000	48.05666361	0.48015464	100.08580460
W_TST_0597	6.45000000	2.59000000	0.15503876	0.00154906	100.08580460
W_TST_0596	0.63000000	55.98000000	1.07145478	0.01070536	100.08580460
W_TST_0595	3.81000000	59.42000000	0.15509903	0.00154966	100.08580460
W_TST_0594	1.04000000	8.89000000	6.14727543	0.06142005	100.08580460
W_TST_0592	5.72000000	1.55000000	0.17482517	0.00174675	100.08580460
W_TST_0591	0.40000000	36.36000000	3.39587848	0.03392967	100.08580460
W_TST_0590	0.35000000	5.34000000	30.56703388	0.30540828	100.08580460
W_TST_0588	0.20000000	24.76000000	10.84086151	0.10831568	100.08580460
W_TST_0585	0.21000000	43.58000000	5.00398907	0.04999699	100.08580460
W_TST_0584	0.34000000	33.19000000	4.49630132	0.04492447	100.08580460
