GROUP i	CENTER.A.X d	CENTER.A.Y d	CENTER.B.X d	CENTER.B.Y d	CENTER.C.X d	CENTER.C.Y d	COUNT i
1	0.32552124	-0.82941458	0.44550326	-0.77163428	0.40450850	-0.70062927	0
1	0.19826760	-0.86866713	0.32552124	-0.82941458	0.27670011	-0.76022730	0
1	0.06658500	-0.88851509	0.19826760	-0.86866713	0.14048433	-0.79672621	0
1	-0.06658500	-0.88851509	0.06658500	-0.88851509	0.00000000	-0.80901699	0
1	-0.19826760	-0.86866713	-0.06658500	-0.88851509	-0.14048433	-0.79672621	0
1	-0.32552124	-0.82941458	-0.19826760	-0.86866713	-0.27670011	-0.76022730	0
2	0.32552124	-0.82941458	0.40450850	-0.70062927	0.27670011	-0.76022730	0
2	0.19826760	-0.86866713	0.27670011	-0.76022730	0.14048433	-0.79672621	0
2	0.06658500	-0.88851509	0.14048433	-0.79672621	0.00000000	-0.80901699	0
2	-0.06658500	-0.88851509	0.00000000	-0.80901699	-0.14048433	-0.79672621	0
2	-0.19826760	-0.86866713	-0.14048433	-0.79672621	-0.27670011	-0.76022730	0
3	-0.44550326	-0.77163428	-0.32552124	-0.82941458	-0.40450850	-0.70062927	0
4	-0.40450850	-0.70062927	-0.32552124	-0.82941458	-0.27670011	-0.76022730	0
1	0.27670011	-0.76022730	0.40450850	-0.70062927	0.35355339	-0.61237244	0
1	0.14048433	-0.79672621	0.27670011	-0.76022730	0.21850801	-0.67249851	0
1	0.00000000	-0.80901699	0.14048433	-0.79672621	0.07391279	-0.70323318	0
1	-0.14048433	-0.79672621	0.00000000	-0.80901699	-0.07391279	-0.70323318	0
1	-0.27670011	-0.76022730	-0.14048433	-0.79672621	-0.21850801	-0.67249851	0
2	0.27670011	-0.76022730	0.35355339	-0.61237244	0.21850801	-0.67249851	0
2	0.14048433	-0.79672621	0.21850801	-0.67249851	0.07391279	-0.70323318	0
2	0.00000000	-0.80901699	0.07391279	-0.70323318	-0.07391279	-0.70323318	0
2	-0.14048433	-0.79672621	-0.07391279	-0.70323318	-0.21850801	-0.67249851	0
3	-0.40450850	-0.70062927	-0.27670011	-0.76022730	-0.35355339	-0.61237244	0
4	-0.35355339	-0.61237244	-0.27670011	-0.76022730	-0.21850801	-0.67249851	0
1	0.21850801	-0.67249851	0.35355339	-0.61237244	0.29389263	-0.50903696	0
1	0.07391279	-0.70323318	0.21850801	-0.67249851	0.15213002	-0.56775696	0
1	-0.07391279	-0.70323318	0.07391279	-0.70323318	0.00000000	-0.58778525	0
