DEPTH d	SIZE i	MIN d	MAX d	INT_AV_D.X d	INT_AV_D.Y d	INT_AV_D.Z d	INT_AV_DD.DIPDIR d	INT_AV_DD.DIP d	INT_AV_DD_STDEV d	INT_AV_D_STDEV d	DD_DERIV d	D_DERIV d
1501.97000000	3	1490.84000000	1510.84000000	-0.02005518	-0.99784149	-0.06253115	181.15140809	3.58510984	38.33982195	1.35523831	0.00000000	0.00000000
1501.97000000	3	1491.84000000	1511.84000000	-0.02005518	-0.99784149	-0.06253115	181.15140809	3.58510984	38.33982195	1.35523831	0.00000000	0.00000000
1501.97000000	3	1492.84000000	1512.84000000	-0.02005518	-0.99784149	-0.06253115	181.15140809	3.58510984	38.33982195	1.35523831	0.00000000	0.00000000
1501.97000000	3	1493.84000000	1513.84000000	-0.02005518	-0.99784149	-0.06253115	181.15140809	3.58510984	38.33982195	1.35523831	0.00000000	0.00000000
1501.97000000	3	1494.84000000	1514.84000000	-0.02005518	-0.99784149	-0.06253115	181.15140809	3.58510984	38.33982195	1.35523831	0.00000000	0.00000000
1501.97000000	3	1495.84000000	1515.84000000	-0.02005518	-0.99784149	-0.06253115	181.15140809	3.58510984	38.33982195	1.35523831	0.06859393	0.00421502
1504.43000000	2	1496.84000000	1516.84000000	-0.30882792	-0.94769605	-0.08060721	198.04935577	4.62346884	17.09485464	1.11265062	0.00000000	0.00000000
1504.43000000	2	1497.84000000	1517.84000000	-0.30882792	-0.94769605	-0.08060721	198.04935577	4.62346884	17.09485464	1.11265062	0.00000000	0.00000000
1504.43000000	2	1498.84000000	1518.84000000	-0.30882792	-0.94769605	-0.08060721	198.04935577	4.62346884	17.09485464	1.11265062	0.00000000	0.00000000
1504.43000000	1	1499.84000000	1519.84000000	-0.09169125	-0.99044973	-0.10296627	185.28910269	5.91000724	0.00000000	0.00000000	0.00000000	0.00000000
1504.43000000	1	1500.84000000	1520.84000000	-0.09169125	-0.99044973	-0.10296627	185.28910269	5.91000724	0.00000000	0.00000000	0.00000000	0.00000000
1504.43000000	1	1501.84000000	1521.84000000	-0.09169125	-0.99044973	-0.10296627	185.28910269	5.91000724	0.00000000	0.00000000	0.00000000	0.00000000
1504.43000000	1	1502.84000000	1522.84000000	-0.09169125	-0.99044973	-0.10296627	185.28910269	5.91000724	0.00000000	0.00000000	0.00000000	0.00000000
1504.43000000	1	1503.84000000	1523.84000000	-0.09169125	-0.99044973	-0.10296627	185.28910269	5.91000724	0.00000000	0.00000000	0.00203853	0.00088550
1529.86000000	1	1510.84000000	1530.84000000	-0.18152940	-0.98131709	-0.06374830	190.48041316	3.65498682	0.00000000	0.00000000	0.00000000	0.00000000
1529.86000000	1	1511.84000000	1531.84000000	-0.18152940	-0.98131709	-0.06374830	190.48041316	3.65498682	0.00000000	0.00000000	0.00000000	0.00000000
1529.86000000	1	1512.84000000	1532.84000000	-0.18152940	-0.98131709	-0.06374830	190.48041316	3.65498682	0.00000000	0.00000000	0.00000000	0.00000000
1529.86000000	1	1513.84000000	1533.84000000	-0.18152940	-0.98131709	-0.06374830	190.48041316	3.65498682	0.00000000	0.00000000	0.00000000	0.00000000
1529.86000000	1	1514.84000000	1534.84000000	-0.18152940	-0.98131709	-0.06374830	190.48041316	3.65498682	0.00000000	0.00000000	0.00000000	0.00000000
1529.86000000	1	1515.84000000	1535.84000000	-0.18152940	-0.98131709	-0.06374830	190.48041316	3.65498682	0.00000000	0.00000000	0.00000000	0.00000000
1529.86000000	1	1516.84000000	1536.84000000	-0.18152940	-0.98131709	-0.06374830	190.48041316	3.65498682	0.00000000	0.00000000	0.09855308	0.00068950
1536.88000000	2	1517.84000000	1537.84000000	-0.98151179	-0.17726655	-0.07218851	259.76241915	4.13969789	52.36570975	2.59169300	0.30653615	0.00097347
1537.94000000	4	1518.84000000	1538.84000000	-0.92290716	0.37853359	-0.07038959	292.30115713	4.03636437	54.27127535	2.06237128	0.85697929	0.06815650
1538.09500000	5	1519.84000000	1539.84000000	-0.80985756	0.57986740	-0.08879491	305.60310283	5.09428273	53.69771129	2.77311647	0.00000000	0.00000000
1538.09500000	5	1520.84000000	1540.84000000	-0.80985756	0.57986740	-0.08879491	305.60310283	5.09428273	53.69771129	2.77311647	0.00000000	0.00000000
1538.09500000	5	1521.84000000	1541.84000000	-0.80985756	0.57986740	-0.08879491	305.60310283	5.09428273	53.69771129	2.77311647	0.00000000	0.00000000
1538.09500000	5	1522.84000000	1542.84000000	-0.80985756	0.57986740	-0.08879491	305.60310283	5.09428273	53.69771129	2.77311647	0.00000000	0.00000000
1538.09500000	5	1523.84000000	1543.84000000	-0.80985756	0.57986740	-0.08879491	305.60310283	5.09428273	53.69771129	2.77311647	0.00000000	0.00000000
1538.09500000	5	1524.84000000	1544.84000000	-0.80985756	0.57986740	-0.08879491	305.60310283	5.09428273	53.69771129	2.77311647	0.00000000	0.00000000
1538.09500000	5	1525.84000000	1545.84000000	-0.80985756	0.57986740	-0.08879491	305.60310283	5.09428273	53.69771129	2.77311647	0.00000000	0.00000000
1538.09500000	5	1526.84000000	1546.84000000	-0.80985756	0.57986740	-0.08879491	305.60310283	5.09428273	53.69771129	2.77311647	0.69053664	0.04622888
