DEPTH d	FREQ d	DERIV_DEPTH d	DERIV d
1430.46000000	0.10679228	1430.65000000	0.03961867
1430.84000000	0.06260167	1431.10000000	0.02150652
1431.36000000	0.02977551	1431.59750000	0.02719550
1431.83500000	0.06769280	1432.30750000	0.01668235
1432.78000000	0.02141895	1433.52000000	0.00488846
1434.26000000	0.04265532	1436.90000000	0.00253882
1439.54000000	0.00330828	1442.21500000	0.00089871
1444.89000000	0.01742122	1445.46250000	0.01220941
1446.03500000	0.05845550	1446.26750000	0.05954999
1446.50000000	0.13973502	1446.76250000	0.07100927
1447.02500000	0.03030893	1447.27250000	0.08635143
1447.52000000	0.15577355	1447.69000000	0.09484258
1447.86000000	0.06112177	1448.03750000	0.22082783
1448.21500000	0.29122817	1448.63250000	0.10080661
1449.05000000	0.04415702	1449.45500000	0.16086654
1449.86000000	0.42662693	1450.01750000	0.39720885
1450.17500000	0.05936493	1450.45000000	0.07186924
1450.72500000	0.17539011	1451.08000000	0.05810337
1451.43500000	0.05430068	1452.67750000	0.00525650
1453.92000000	0.01595916	1455.11250000	0.01030367
1456.30500000	0.08809101	1457.87000000	0.00897676
1459.43500000	0.00561828	1460.98750000	0.01200939
1462.54000000	0.11507165	1462.72000000	0.83745037
1462.90000000	1.00000000	1463.53000000	0.26607989
1464.16000000	0.01592291	1464.90250000	0.00844562
1465.64500000	0.05273617	1466.45750000	0.00932006
